bps_desa_kelurahan,rendah_pct,menengah_pct,tinggi_pct
JATI SARI,0.3049334003842534,0.35944450891648294,0.33562209069926374
JATIHANDAP,0.42353607866315146,0.45186596981952365,0.12459795151732489
KACAPIRING,0.30489399011637175,0.5060098836282481,0.1890961262553802
KARANG ANYAR,0.2745933010144379,0.5146710775213578,0.21073562146420433
KARANG PAMULANG,0.40584794949266617,0.4680938448166626,0.12605820569067122
KARASAK,0.3450431314751398,0.4956478390914214,0.1593090294334388
KEBON GEDANG,0.3373913251455974,0.558777101445809,0.10383157340859353
KEBON JAYANTI,0.3793747603634451,0.5296391407859188,0.0909860988506362
KEBON JERUK,0.32089808274470233,0.5299798183652876,0.1491220988900101
KEBON KANGKUNG,0.37927596820875636,0.49639362337483345,0.12433040841641016
KEBON LEGA,0.4251674041586717,0.44734356032423545,0.12748903551709284
KEBON PISANG,0.33989309312755195,0.5183405528940398,0.14176635397840825
KEBON WARU,0.3453334824531271,0.5460260906382061,0.10864042690866679
KOPO,0.44196778538196063,0.460804666529401,0.09722754808863837
KUJANGSARI,0.36940682906572186,0.45520006175813704,0.17539310917614112
LEBAK GEDE,0.3248828200243991,0.47858121267898035,0.1965359672966205
LEBAK SILIWANGI,0.3527874052752159,0.5046701521470951,0.142542442577689
LEDENG,0.380606737390657,0.45254048017867116,0.16685278243067186
LINGKAR SELATAN,0.27629830315129045,0.4928047911022387,0.23089690574647084
MALABAR,0.3365085953443326,0.4506174120576943,0.2128739925979731
MALEBER,0.35945758038192094,0.5259573064028612,0.11458511321521792
MALEER,0.355652265635899,0.5416293795999197,0.10271835476418127
MANJAHLEGA,0.3053994657471558,0.33967359492566224,0.354926939327182
MARGAHAYU UTARA,0.4472223014660688,0.41049666873276985,0.14228102980116134
MARGASARI,0.37328217455890866,0.4031115108700247,0.2236063145710666
MARGASUKA,0.4816921573748924,0.4437124532025423,0.07459538942256533
MEKAR MULYA,0.30891787937666043,0.3932590507157302,0.2978230699076093
MEKAR WANGI,0.4828561890115423,0.41686414658574095,0.10027966440271674
MEKARJAYA,0.38468238016931605,0.3744259699129058,0.24089164991777817
MENGGER,0.3583459556088397,0.4378422063915992,0.20381183799956112
MERDEKA,0.289927407117592,0.4612053696526856,0.24886722322972238
NEGLASARI,0.3445202754399388,0.46878653404743686,0.18669319051262434
NYENGSERET,0.38649662923521844,0.5046329880354776,0.1088703827293039
PADASUKA,0.3526951688610984,0.5146967617304662,0.13260806940843542
PAJAJARAN,0.40255072753138493,0.4857931147146711,0.11165615775394397
PAKEMITAN,0.3445019134450191,0.51267600512676,0.1428220814282208
PALASARI,0.36654593541054825,0.49463082258347185,0.13882324200597992
PALEDANG,0.2979630951933556,0.49547145702581835,0.20656544778082603
PAMOYANAN,0.2870302164482838,0.47178136416735494,0.24118841938436125
PANJUNAN,0.4137540703985114,0.4946115676849124,0.09163436191657622
PASANGGRAHAN,0.43004301791689,0.43715473414347994,0.13280224793963008
PASIR BIRU,0.42389649632069576,0.4650034703182339,0.11110003336107031
PASIR ENDAH,0.34626966472064696,0.44169077433481985,0.21203956094453322
PASIR IMPUN,0.44774622707431505,0.4459766046845081,0.10627716824117685
PASIR WANGI,0.44410566997835993,0.44654622888709133,0.10934810113454878
PASIRJATI,0.4142971580074151,0.46076221262840006,0.12494062936418479
PASIRKALIKI,0.29755278280062547,0.4901126762376046,0.21233454096176987
PASIRLAYUNG,0.36830171883386353,0.4546099569309717,0.17708832423516474
PASIRLUYU,0.411835138595702,0.4699276741530263,0.11823718725127176
PASTEUR,0.33676368153614544,0.46925044858811105,0.1939858698757435
PELINDUNG HEWAN,0.38097376931369026,0.5030890313307755,0.11593719935553418
PUNGKUR,0.27753936424213105,0.5166742092039762,0.20578642655389273
RANCABOLANG,0.38938971811142065,0.3294844225044757,0.28112585938410367
RANCANUMPANG,0.3480830707665417,0.4013937121961316,0.25052321703732666
SADANG SERANG,0.3354816133804626,0.5097602785234008,0.15475810809613663
SAMOJA,0.36695796626344207,0.5450203674086117,0.08802166632794621
SARIJADI,0.33197385123402195,0.4018458970094998,0.26618025175647825
SEKEJATI,0.32801287671105794,0.37695458361744666,0.29503253967149545
SEKELOA,0.3454351203077992,0.4917183925750654,0.16284648711713542
SINDANG JAYA,0.3871338610245031,0.41985276375490277,0.19301337522059414
SITUSAEUR,0.395092338099083,0.4903366473372427,0.11457101456367427
SUKA ASIH,0.4274946191692658,0.47137277975066566,0.10113260108006857
SUKABUNGAH,0.39496149320636964,0.47829778405073453,0.12674072274289583
SUKAGALIH,0.41703741265543426,0.4035279072066642,0.17943468013790156
SUKAHAJI,0.48850127995834197,0.44786188992928394,0.06363683011237407
SUKALUYU,0.3156150680316944,0.45081066830704336,0.23357426366126222
SUKAMAJU,0.30721470582122745,0.4896086622191741,0.20317663195959848
SUKAMISKIN,0.3001890665514261,0.3875189066551426,0.31229202679343127
SUKAMULYA,0.3956574696817243,0.4875920139808293,0.11675051633744638
SUKAPADA,0.38119372433181753,0.4900488424216513,0.12875743324653116
SUKAPURA,0.3969209591040318,0.4930353004157364,0.11004374048023181
SUKARAJA,0.3614447339021301,0.47206650394002503,0.16648876215784483
SUKARASA,0.4042984662250717,0.40234582551096315,0.19335570826396514
SUKAWARNA,0.40792662604051366,0.41528788745376066,0.17678548650572565
TAMAN SARI,0.3333385252795863,0.5040497180773185,0.16261175664309524
TURANGGA,0.27126279968706524,0.32661217285406524,0.4021250274588695
WARUNG MUNCANG,0.4874849861251087,0.44790634103240234,0.06460867284248892
WATES,0.38420943338130936,0.5304791160948923,0.08531145052379827
